               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.034228,            0.027206,           0.0076428,             0.72517,             0.72413,             0.75722,             0.37184,            0.032692,            0.021162,            0.016101,           0.0091952,           0.0091952,           0.0091952
                  60,            0.034172,            0.026719,           0.0085566,               0.841,             0.71384,             0.80137,             0.37421,            0.032776,            0.021675,             0.01441,           0.0091681,           0.0091681,           0.0091681
                  61,               0.034,            0.026755,           0.0088276,             0.78792,             0.74988,             0.78973,             0.38473,            0.032252,             0.02208,            0.012602,           0.0091406,           0.0091406,           0.0091406
                  62,            0.033109,            0.025444,           0.0079277,             0.73739,              0.7265,             0.76763,             0.38591,            0.030944,            0.022033,            0.015296,           0.0091127,           0.0091127,           0.0091127
                  63,            0.032655,            0.025149,           0.0078865,             0.83322,             0.69989,             0.76896,              0.3706,            0.031918,            0.022105,            0.017077,           0.0090844,           0.0090844,           0.0090844
                  64,            0.034027,            0.026094,           0.0077753,             0.81081,             0.71503,             0.78993,             0.38291,            0.032649,            0.021622,            0.016017,           0.0090557,           0.0090557,           0.0090557
                  65,            0.033137,              0.0263,           0.0079688,             0.76732,             0.74815,             0.77926,             0.37972,            0.031332,            0.021432,             0.01329,           0.0090266,           0.0090266,           0.0090266
                  66,            0.033405,            0.026394,           0.0076477,             0.82707,             0.69908,              0.7807,             0.38831,            0.030188,            0.022095,            0.014289,           0.0089972,           0.0089972,           0.0089972
                  67,            0.033452,            0.026604,           0.0078774,              0.7913,             0.73183,             0.79731,             0.38536,            0.032119,            0.021857,            0.013717,           0.0089673,           0.0089673,           0.0089673
                  68,            0.033822,            0.026242,           0.0070618,             0.79853,             0.72768,                0.79,             0.36807,            0.032648,            0.022466,            0.012455,           0.0089371,           0.0089371,           0.0089371
                  69,            0.032541,            0.026002,           0.0063086,             0.77341,             0.75639,             0.78563,             0.38866,            0.031764,            0.022614,            0.013772,           0.0089065,           0.0089065,           0.0089065
                  70,             0.03199,             0.02476,           0.0066233,              0.7825,              0.7611,             0.78779,             0.39625,            0.030854,            0.022556,            0.015297,           0.0088755,           0.0088755,           0.0088755
                  71,            0.032996,             0.02462,           0.0066765,             0.76788,             0.70331,             0.76175,             0.38171,            0.031156,            0.022623,            0.015111,           0.0088442,           0.0088442,           0.0088442
                  72,            0.032528,             0.02561,           0.0066013,             0.81686,             0.74198,             0.79582,             0.38932,            0.031639,            0.021978,            0.012545,           0.0088124,           0.0088124,           0.0088124
                  73,            0.032938,            0.025948,            0.006578,             0.76881,             0.75619,             0.78215,             0.37863,            0.032545,            0.022874,            0.013868,           0.0087804,           0.0087804,           0.0087804
                  74,            0.032335,            0.024682,           0.0061626,             0.78466,             0.76623,               0.797,             0.40417,            0.031639,            0.022085,            0.015585,           0.0087479,           0.0087479,           0.0087479
                  75,            0.032528,            0.025808,           0.0062973,             0.68628,             0.73647,             0.78313,             0.39199,            0.031979,            0.022285,            0.015749,           0.0087151,           0.0087151,           0.0087151
                  76,            0.032639,            0.026122,            0.006204,             0.82027,             0.69644,             0.80122,             0.38746,            0.032855,            0.022951,            0.013843,            0.008682,            0.008682,            0.008682
                  77,             0.03141,            0.023999,           0.0061456,             0.82805,             0.71394,             0.79087,             0.38423,            0.031673,            0.023007,            0.013638,           0.0086485,           0.0086485,           0.0086485
                  78,            0.031643,            0.024847,            0.006575,             0.81155,             0.69935,             0.78471,             0.39049,            0.032037,            0.022792,            0.012942,           0.0086146,           0.0086146,           0.0086146
                  79,            0.032215,            0.024966,           0.0055418,             0.85891,             0.68564,             0.80395,             0.40047,            0.032171,            0.022002,            0.015139,           0.0085805,           0.0085805,           0.0085805
                  80,            0.030644,            0.024788,           0.0055012,             0.79211,             0.69286,              0.7636,             0.37618,            0.031781,             0.02295,            0.017158,           0.0085459,           0.0085459,           0.0085459
                  81,             0.03143,            0.024238,           0.0060192,             0.81241,              0.6849,                0.78,             0.38345,            0.032112,            0.022398,            0.016087,           0.0085111,           0.0085111,           0.0085111
                  82,            0.031564,            0.024495,           0.0055915,             0.80389,             0.75984,             0.80915,             0.39754,            0.030327,            0.022161,            0.015596,           0.0084759,           0.0084759,           0.0084759
                  83,            0.031345,            0.024869,            0.005774,             0.75536,             0.75049,              0.7766,             0.38053,            0.031442,            0.022094,            0.017494,           0.0084404,           0.0084404,           0.0084404
                  84,            0.031489,            0.024862,           0.0058246,              0.7884,             0.73455,             0.78277,             0.38189,            0.031893,            0.022754,            0.016817,           0.0084046,           0.0084046,           0.0084046
                  85,            0.031353,            0.025575,           0.0053006,             0.75134,             0.72785,             0.77315,             0.37436,            0.032063,            0.022349,            0.016082,           0.0083684,           0.0083684,           0.0083684
                  86,            0.031308,            0.024824,           0.0052975,             0.82065,             0.68987,             0.79337,             0.39224,             0.03126,            0.023103,            0.015564,           0.0083319,           0.0083319,           0.0083319
                  87,            0.030745,            0.024378,           0.0057316,             0.83784,             0.71291,              0.8097,             0.39573,            0.032309,            0.022348,            0.012028,           0.0082952,           0.0082952,           0.0082952
                  88,            0.030904,            0.024963,           0.0048147,             0.76455,              0.7899,             0.79815,             0.39365,            0.031415,            0.022649,            0.013659,           0.0082581,           0.0082581,           0.0082581
                  89,             0.03085,            0.022969,            0.005033,             0.75807,             0.77145,             0.78431,             0.41258,            0.031983,            0.022864,            0.016298,           0.0082207,           0.0082207,           0.0082207
                  90,            0.030026,            0.023711,           0.0054853,             0.77183,             0.75418,             0.80112,             0.38306,            0.031326,            0.022444,            0.015009,            0.008183,            0.008183,            0.008183
                  91,            0.029899,            0.024456,           0.0050376,             0.79736,             0.76695,             0.80884,             0.39325,             0.03271,            0.022623,            0.014384,            0.008145,            0.008145,            0.008145
                  92,            0.030428,            0.024611,           0.0057383,             0.78704,             0.75011,             0.77755,             0.39381,            0.031439,            0.022799,            0.014238,           0.0081068,           0.0081068,           0.0081068
                  93,            0.030687,            0.023847,            0.005017,             0.80065,             0.69534,             0.76012,             0.37918,            0.031075,              0.0227,            0.015796,           0.0080682,           0.0080682,           0.0080682
                  94,             0.03115,            0.025005,           0.0047558,             0.82967,             0.73783,             0.78746,              0.3813,            0.031296,            0.022901,            0.015871,           0.0080294,           0.0080294,           0.0080294
                  95,            0.029739,            0.022918,           0.0051478,             0.77539,             0.75542,             0.79081,             0.38632,            0.031036,            0.022968,            0.015232,           0.0079903,           0.0079903,           0.0079903
                  96,            0.029829,            0.024095,           0.0047514,             0.80402,             0.73479,             0.78021,             0.38635,            0.031521,            0.023319,            0.017142,           0.0079509,           0.0079509,           0.0079509
                  97,            0.030447,            0.024886,           0.0047051,             0.83605,             0.68977,              0.7915,             0.38561,            0.031143,            0.022864,            0.016211,           0.0079112,           0.0079112,           0.0079112
                  98,            0.029627,              0.0232,           0.0046867,             0.79664,             0.72924,             0.79197,             0.37875,             0.03141,             0.02311,            0.015803,           0.0078713,           0.0078713,           0.0078713
                  99,             0.02938,            0.022932,           0.0052811,             0.76119,             0.74508,             0.79077,                 0.4,            0.031501,            0.022635,            0.017362,           0.0078311,           0.0078311,           0.0078311
                 100,            0.029701,            0.023677,           0.0051195,             0.82475,             0.74764,             0.79765,             0.40065,            0.030754,            0.022739,            0.015699,           0.0077907,           0.0077907,           0.0077907
                 101,            0.029865,            0.023253,           0.0045594,             0.83507,             0.69778,             0.81084,             0.38074,             0.03085,             0.02296,             0.01516,             0.00775,             0.00775,             0.00775
                 102,            0.029097,             0.02292,           0.0047893,             0.80088,             0.72282,             0.79037,             0.40338,            0.030716,            0.022831,            0.018082,           0.0077091,           0.0077091,           0.0077091
                 103,            0.028937,            0.023916,           0.0047649,              0.7972,             0.75021,             0.78529,             0.39204,            0.031018,            0.023493,            0.015325,           0.0076679,           0.0076679,           0.0076679
                 104,            0.028653,            0.022177,           0.0042949,             0.82353,             0.72288,               0.793,             0.39009,            0.030952,            0.023394,            0.014633,           0.0076265,           0.0076265,           0.0076265
                 105,            0.029035,            0.023231,           0.0045052,             0.76154,             0.76383,             0.78459,             0.39297,            0.030753,            0.022607,            0.015992,           0.0075848,           0.0075848,           0.0075848
                 106,            0.029606,            0.022744,           0.0044168,             0.78895,             0.77423,             0.78959,             0.38708,            0.030901,            0.022887,            0.015055,            0.007543,            0.007543,            0.007543
                 107,            0.028795,            0.023008,           0.0047308,              0.7897,             0.74228,             0.79028,             0.36926,              0.0309,            0.023998,            0.016015,           0.0075009,           0.0075009,           0.0075009
                 108,             0.02936,            0.022719,           0.0041354,             0.83265,             0.69237,             0.79111,              0.3732,            0.031476,            0.023164,            0.016753,           0.0074585,           0.0074585,           0.0074585
                 109,            0.028007,            0.022343,           0.0045123,              0.8088,             0.70033,             0.79343,             0.36778,            0.031615,            0.023953,            0.015586,            0.007416,            0.007416,            0.007416
                 110,            0.029057,            0.023921,           0.0039523,             0.82121,             0.65369,             0.77581,             0.36644,            0.031769,             0.02399,             0.01626,           0.0073733,           0.0073733,           0.0073733
